filename,chroma_stft,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
00994050.wav,0.3286641240119934,1282.7028114963791,1874.0678811774449,2972.4236928272544,0.03738904073142415,-162.6424102783203,153.62718200683594,64.18333435058594,30.540695190429688,13.679421424865723,9.53292179107666,-13.042927742004395,-2.2262017726898193,-6.9786295890808105,3.060847282409668,-2.6709506511688232,3.924076795578003,-4.237227439880371,-5.671380996704102,-7.259866237640381,-3.493813991546631,0.2717280387878418,0.7491982579231262,-3.4461100101470947,1.8630168437957764,0
00994051.wav,0.47189199924468994,1495.3759089674386,2253.5839519842657,3526.8167579940455,0.03997627807900852,-107.30659484863281,120.74818420410156,25.066627502441406,25.526832580566406,19.791040420532227,23.246644973754883,10.995041847229004,12.718847274780273,1.803297758102417,3.02304744720459,-2.9028289318084717,-0.03675013780593872,-7.683176040649414,-5.484572410583496,-10.209293365478516,-4.491404056549072,-11.254081726074219,-5.005738258361816,-8.91740608215332,-4.858805179595947,0
00994077.wav,0.47398242354393005,2603.8152365100245,2523.97791823547,5345.430031679657,0.12635364724535245,12.832315444946289,80.87462615966797,-0.8082665801048279,40.814056396484375,-13.120255470275879,15.603133201599121,13.782124519348145,5.328138828277588,1.6513053178787231,13.507391929626465,-1.9819612503051758,6.128360748291016,-2.5044894218444824,5.529408931732178,-2.530109405517578,3.8084168434143066,-1.2616888284683228,-0.6537611484527588,1.3992780447006226,4.255234718322754,0
00994084.wav,0.3288765251636505,2142.708583207419,2532.4094921706,4760.731011116624,0.08645490414407436,-65.32749938964844,95.41319274902344,6.938133716583252,28.363338470458984,12.744351387023926,12.232244491577148,4.269129753112793,11.58249282836914,2.295750617980957,2.050215482711792,-9.80561351776123,4.941418647766113,-1.6197924613952637,1.1809375286102295,-11.137481689453125,0.0913558229804039,-5.475210189819336,5.246561050415039,-2.4981119632720947,6.792779445648193,0
00993076.wav,0.4392676055431366,2288.5649574589906,2127.2004539213945,4500.0891841353605,0.11670337916343919,-32.494754791259766,93.23512268066406,-38.70102310180664,23.25473976135254,-0.022742806002497673,14.646038055419922,0.5447983741760254,20.87021255493164,-1.1605346202850342,3.6145739555358887,3.472278118133545,3.4549806118011475,-6.150540351867676,-0.4185416102409363,-3.103400707244873,4.2867536544799805,-2.6240627765655518,-0.7341181039810181,-5.346237659454346,0.612586259841919,0
00993077.wav,0.4569731652736664,2303.6682044020404,2108.238473614492,4474.336073658986,0.13129054512006197,18.914409637451172,95.45011138916016,-46.9477424621582,16.57441520690918,-1.1799839735031128,15.709507942199707,0.6159435510635376,25.344348907470703,-2.8611204624176025,6.230718612670898,6.604005813598633,6.876239776611328,-3.1360862255096436,2.3868823051452637,-2.7548670768737793,1.390328288078308,-11.146546363830566,-1.3069396018981934,-0.20118246972560883,5.297992706298828,0
00993081.wav,0.5038556456565857,2873.525511927457,2586.0403886760732,5805.664893938661,0.14400555401025542,47.89725112915039,66.10653686523438,-20.688549041748047,19.821598052978516,6.02598237991333,24.273963928222656,3.118863344192505,22.607681274414062,-1.9420173168182373,10.860361099243164,9.873852729797363,6.416701793670654,-3.964670181274414,2.875282049179077,-4.211786270141602,5.240966320037842,-3.5824522972106934,0.46510833501815796,-4.1549482345581055,6.245086193084717,0
01036688.wav,0.35823169350624084,2715.5109160520265,2775.575390449548,6007.58853738018,0.10490444664988381,-63.42949295043945,63.27535629272461,15.950098037719727,42.39876937866211,2.7499611377716064,22.64521026611328,4.904264450073242,7.210483551025391,-4.28780460357666,3.497163772583008,-2.334484815597534,4.41851806640625,-8.226908683776855,-0.784044086933136,0.9499331116676331,6.60653018951416,-0.09103218466043472,6.727840900421143,-7.6481032371521,-6.83194637298584,0
01033956.wav,0.4859269857406616,2622.604082656103,2650.0713676141054,5668.682388919795,0.11124838247387771,-9.588956832885742,78.62637329101562,0.4841206669807434,30.917255401611328,5.229582786560059,14.487088203430176,-2.8096282482147217,8.876984596252441,-0.1110607162117958,5.771144390106201,-3.3632993698120117,1.487464427947998,-4.667667865753174,0.44428178668022156,-1.2496025562286377,2.1365244388580322,-3.5351290702819824,-1.5289064645767212,-7.417940616607666,-2.8601129055023193,0
01033957.wav,0.43296951055526733,2668.531395003325,2449.86804892499,5134.834971527644,0.14783461827072036,-22.947219848632812,79.5367660522461,-15.562472343444824,31.36587142944336,-0.2571820914745331,-9.525860786437988,3.1387674808502197,13.936708450317383,-7.254434108734131,7.821125507354736,1.1779704093933105,3.1602983474731445,-2.4169321060180664,-1.8689494132995605,-8.649980545043945,0.2519923150539398,-7.568577766418457,-0.9163499474525452,-4.825331687927246,-2.0520312786102295,0
01033959.wav,0.4538387358188629,2385.8442920888256,2441.1630727371776,4946.020092093169,0.1126168549245356,-8.812830924987793,89.06511688232422,-14.204352378845215,28.270160675048828,6.20059061050415,7.826834201812744,-2.258578062057495,10.038484573364258,-3.583334445953369,5.355694770812988,-2.517855167388916,-0.20354077219963074,-3.9919137954711914,1.943975806236267,-4.181280612945557,4.8372087478637695,-0.19129027426242828,0.45628461241722107,-7.611691474914551,-1.9402233362197876,0
01033960.wav,0.5017178058624268,2808.72821203397,2365.27305636955,5087.069239188274,0.18017502539667182,24.414640426635742,70.16985321044922,-34.95258712768555,31.193866729736328,12.918645858764648,-7.118566036224365,-2.4057250022888184,12.410933494567871,-6.082959175109863,8.916606903076172,-7.812780380249023,2.9220945835113525,-2.455406904220581,1.1133426427841187,-6.371628284454346,0.3615880012512207,-6.6108293533325195,1.5349339246749878,-0.6478040218353271,1.158315896987915,0
