id,genre
00969747,5
00994052,1
00994088,4
00993080,5
01033955,3
01033958,5
01033961,2
01033964,3
00962998,5
00963001,4
00963004,5
00963007,5
00922023,3
00922026,2
00922029,2
00922032,2
00918553,5
01021684,3
01021687,2
01021690,3
01021693,3
01029355,2
01029369,3
01029372,3
01029375,2
00992032,0
01013853,2
01013857,2
01013860,3
01021699,2
01021702,2
01021705,3
01042653,3
01042658,2
01042661,4
01042664,1
01036379,5
01036382,4
01036385,5
00924108,3
00924111,2
00912067,2
00912070,2
00912074,3
00912077,3
01033586,4
01015088,4
00968781,5
01050608,5
01018947,1
01027211,0
00998494,1
01006725,0
01006728,3
01006731,5
00917959,0
00917962,5
00917965,1
01031121,3
00974962,2
01044502,2
00911051,1
00911055,0
00993552,5
01055826,2
00991080,1
01050505,1
01050508,1
01002824,3
00964951,2
01032285,2
01032292,2
01045005,0
01045009,0
01045012,4
00957733,4
00957736,1
00983071,5
00983074,1
00983077,5
00926468,2
00981995,2
00942824,5
00942830,5
01044707,0
01044713,1
01050384,2
01050388,2
00977698,5
01045607,3
01047332,2
00973824,5
00973827,0
00911010,0
00911014,1
00949254,5
00963937,2
00963940,3
01043994,2
01043997,5
00969109,2
01003689,1
01003692,1
01037258,3
01037262,3
01020454,4
00965181,5
00980810,5
00916842,1
00916848,1
01033065,1
01033068,3
01020594,0
01037981,3
00955210,5
00979226,5
01025173,0
01025176,2
00961912,4
00961915,0
00939370,3
01045500,2
00933929,5
00933932,3
00974949,1
01040562,5
01040565,3
00940749,2
00929382,2
01023053,2
01019603,1
01019606,4
01001388,1
01029972,0
00919810,3
01031682,2
01002598,3
01005586,5
01014678,2
01019815,0
01019818,3
00968025,2
01054702,4
00930330,2
01002538,3
01052896,1
01052899,1
01014166,3
01029687,3
00939288,3
00979577,0
00970480,2
01052548,5
00965830,5
00977012,5
01016256,3
01016259,2
00978911,5
01006549,4
01026858,2
00994440,5
00994443,5
01034848,1
01044916,2
01044921,3
00912124,2
00914077,3
01031155,5
01056705,1
01017925,4
01014948,5
01016251,4
01016639,5
01016646,4
00924751,3
01053771,5
00970760,3
01014240,3
01014243,2
00962231,3
00970334,0
01053072,3
00911311,2
01038945,2
00945014,2
00945020,3
00935555,1
01015579,2
01012430,4
01012434,3
01050236,2
01050239,2
01036000,3
00977238,3
01015793,5
01039268,3
00964218,0
01018269,0
01018274,5
01004225,1
01041673,1
01041678,3
00918094,1
00918097,3
00970037,2
00970040,3
00946250,4
00979803,2
00983417,1
00983420,4
01033393,1
00961320,5
00961323,0
00968959,2
00969735,2
00926714,3
00952094,2
01015099,3
00935094,3
01020307,2
01020310,1
01020313,4
01020316,2
01018656,1
01018661,1
01018666,3
01018671,2
01018676,2
01018679,2
01018682,5
01018685,2
01018688,0
01018691,3
00946947,2
00946950,2
00946953,2
00946956,2
01015746,5
01015750,5
01042626,3
01042629,3
01034583,0
01034586,5
01034589,5
01034592,1
01027388,3
01027400,2
00919226,2
01052997,4
01053000,5
01052224,4
01052227,5
01052230,5
01052233,5
01015714,4
01015717,5
00955124,4
01027468,3
01027477,3
01027485,4
01027490,5
01027496,3
00918487,2
00919807,3
01045351,4
01045354,5
01045357,1
01045360,5
01017262,3
01017265,1
01035765,1
01035773,1
00961953,4
00961956,5
00980756,3
00932393,0
01029023,3
01029026,0
01029029,0
01029764,0
01029789,5
01029822,3
01029868,5
00992882,1
00992885,4
00992889,5
01035199,5
01035202,1
00994474,0
00994477,4
00994480,0
00994483,2
00939615,2
00939618,2
00939621,2
00939624,3
00939627,2
00998446,2
00998449,2
00998452,1
00962575,3
00962578,3
00962581,0
00962584,4
01049192,1
01052942,3
00919468,2
00920486,3
01048470,3
01040068,1
01040075,2
01040078,2
01040081,1
01040084,3
01052992,5
01052995,4
01031768,0
01031771,4
01031774,2
01038733,2
01038738,2
01038742,2
00928690,2
00928693,5
00997868,3
00997876,3
00997880,0
00974647,2
00974650,2
00974653,2
00974656,3
00940049,3
00958551,2
00958556,3
00958560,2
00958563,2
01034469,5
01034472,3
01034475,5
01034478,2
01039053,5
01039060,4
01039063,4
01021097,5
00959323,0
00959326,2
00959330,5
00959334,1
00974621,3
00974625,5
01056390,2
01001917,2
01001921,2
01001927,3
01033010,5
01030087,3
01030092,1
01030095,0
01030098,5
00992709,1
00992712,2
00992715,2
01034566,3
01034569,4
01034575,5
01034578,4
00994612,3
01037656,0
01037659,3
00923444,3
01033687,1
01033691,3
01033694,3
01049838,3
01049841,0
00920667,2
00919841,2
01055897,1
01055900,1
00929284,4
00929287,0
00929290,4
00993407,1
01045328,1
00926701,3
00926705,3
00926709,2
00919816,2
00954021,0
00936560,3
01021223,3
01001232,2
00964726,2
00998113,2
00998638,3
01033716,4
01033719,2
01036338,5
01036342,1
01036345,1
00988780,2
00989070,2
00988889,0
01027587,0
01027591,0
01027594,0
01027597,1
01027601,2
01027604,3
01027607,0
01027610,1
01027613,3
01027616,2
01027619,0
01027622,3
00944408,2
00988832,3
00988746,3
01040827,2
01040835,2
01040849,2
01040852,1
01040860,3
01040863,2
01040869,2
00988927,1
01029933,0
01029936,1
01029939,5
00961448,3
01003011,2
01003015,3
01015307,3
01015310,2
01015313,2
01015316,4
01039202,3
01039207,3
01039212,1
01043620,3
00990204,3
00990207,3
00990210,2
00990219,3
00988854,4
00989091,0
00921857,3
00921860,2
00921866,3
00921869,3
00921873,2
00921877,2
01055401,5
01055409,4
01055419,5
01055422,5
00993772,2
00993775,3
01041875,2
01026239,2
01026242,2
00973814,3
01029911,2
00988875,5
01043565,2
00988912,1
01049386,2
01049930,4
01051743,3
00994385,2
00994388,2
00994391,2
00994394,2
00994397,3
01034173,3
01034176,1
01056430,5
01048363,5
01059769,3
00990901,3
00997816,0
00997905,2
00961438,2
00961441,0
00961444,3
00961449,1
01040732,1
01040735,2
01040738,3
01040741,3
01040744,3
01040748,2
01015762,2
01015765,3
01048571,3
01048574,3
01048577,2
01048580,3
01048584,3
01048588,3
01041256,3
01041259,2
01041262,2
01041265,5
01018509,2
01018512,4
01018515,2
01018518,2
01001206,1
01001209,3
01024899,0
01024902,2
01016168,3
01016171,3
01016174,2
01041734,3
01041742,3
01018435,2
01018438,2
01018442,2
00959736,2
00959740,3
01023056,3
01023060,3
01023063,5
01020265,3
00974046,3
00987806,5
00987809,5
01044457,2
01044460,2
01044463,3
01031464,2
01031467,3
01031470,3
01028059,5
01028062,1
01028065,3
01042079,5
01042082,3
01042085,4
01010808,4
01010811,0
01000237,2
01000240,2
01000243,2
01033873,5
01033876,0
01028940,4
01028943,4
01028946,2
01028949,5
01028952,3
01028955,3
01033471,1
01033475,1
01033478,1
01040722,3
01040725,2
01040728,3
01028762,3
01050584,3
01050589,3
01050594,3
01050597,3
01032162,3
01032165,2
01004572,2
01039855,2
00982718,4
00982721,0
00982724,5
00982727,3
00982730,5
01036473,3
01036476,2
01036479,3
01047062,2
01047065,3
01034006,2
01034009,2
01029964,3
00927653,2
00927658,2
00927663,2
00988725,2
01034498,2
01034501,2
01021662,3
01045307,2
01045310,3
01045313,3
00982896,3
01030774,3
01030777,3
01052472,2
01039078,4
01039083,3
01039086,4
01022579,2
00931707,5
00931711,5
00931714,5
00931717,5
00931720,5
00971915,1
00971918,4
00919052,3
00919055,1
00919058,2
00919061,3
00919064,0
00919067,2
00919070,1
00919073,1
00919076,3
00919079,4
00919082,1
00918587,5
00965109,1
00965112,3
00917984,2
00917987,2
01004326,4
01031253,1
01031257,3
01031260,0
01031263,5
01031266,1
01031269,3
01017550,4
01017553,0
01017556,5
00996468,0
00996485,2
00933297,1
00933301,0
00933305,1
00933310,1
00933315,1
00944274,5
00944277,5
00944283,4
01015777,0
01015780,5
01015783,5
01015786,4
01015789,2
01019224,5
01019227,1
00996745,1
00972277,3
00972280,1
00972283,2
00926728,2
01028601,1
01028604,4
01028607,5
01028610,0
00983214,4
00983217,1
00983220,5
00983224,5
00977193,3
00962409,0
00962412,4
01018033,2
01018054,3
01018061,5
01018065,1
01018068,5
01005838,0
01005841,4
01005844,1
00913728,2
00913732,2
00980070,3
00980073,0
00980076,5
00980079,1
01049958,4
01049961,5
00978531,5
00978534,1
00978537,1
00978540,1
00978543,3
01037096,5
00961665,2
01056979,5
01005864,3
01005867,2
01005870,5
01005873,2
00949334,2
00951146,4
00951149,0
00951154,5
00951157,3
00978462,3
01004980,5
00920855,3
00965502,1
01020324,3
01049371,3
01049374,5
01049377,5
01049381,2
01053978,2
01054013,2
01054016,3
01021329,5
01021333,4
01021337,2
01021340,2
00982678,5
00982682,5
00982687,5
00982692,5
01037203,1
01037208,5
01027228,0
01027231,5
00983034,2
00983037,5
00983040,2
00983044,1
00971022,5
01035783,5
01003200,1
01003204,4
00924788,2
00973041,5
01045504,5
01045507,5
00967765,0
00986132,4
00986137,5
00986140,0
01027277,0
01027282,5
01061594,2
01061597,2
01016097,2
00929377,2
00980839,4
01042113,4
01042116,1
01040243,3
01040252,0
00984860,5
00982706,5
00982709,4
00982717,1
01014310,2
01014317,1
01014320,5
00929585,0
01048456,1
01008247,0
01005914,5
01005917,1
00971059,4
00982661,5
00982664,1
00982667,5
00982670,1
01056407,0
01057240,5
01016126,5
01016129,4
00997132,5
00997137,5
00997149,4
01030729,4
00977111,0
00977114,5
00977117,5
01021554,1
01021561,5
01045184,5
01045188,5
00937250,3
00968450,1
00968464,4
00979418,5
00979423,4
00947814,1
00991006,4
00978979,1
00978982,1
00920488,2
00914772,2
00914778,2
00914781,2
00937345,1
01006382,3
00977495,3
00963782,5
00963786,1
00993912,0
01039186,2
01039190,3
01039193,3
00996137,2
00996147,5
00996152,2
00996157,4
01029643,2
01029646,2
01029649,2
01029653,2
00977050,3
00977053,5
00977056,2
01023736,2
01023740,3
01023743,5
01023746,0
00996158,2
00996161,3
00996164,4
00996167,2
00933753,2
00930303,4
00947525,3
00947528,4
00947531,4
00947534,0
00917671,2
00917674,2
00917677,3
00930304,1
00921973,4
